"Timecode","Content","Content_zh"
"00:00:25,347 --> 00:00:29,341","Cameraman: How are we going to continue making this documentary without spoiling anything?","Cameraman：我們要怎麼繼續拍這部紀錄片，才不會爆雷？"
"00:00:30,192 --> 00:00:31,249","Schafer: I don't know.","Schafer：我不知道。"
"00:00:31,249 --> 00:00:36,089","People know now if they've, hopefully they're not watching this episode before they finish Act One.","如果大家已經知道了……希望他們不是還沒玩完第一幕就來看這集。"
"00:00:37,403 --> 00:00:39,143","You really shouldn't watch this episode.","你真的不該看這集。"
"00:00:41,100 --> 00:00:42,379","Should we you shoot that now?","要現在拍那段嗎？"
"00:00:42,379 --> 00:00:43,248","Hi. I'm Tim Schafer.","嗨，我是 Tim Schafer。"
"00:00:43,248 --> 00:00:46,808","Please don't watch this episode until you finish Act One of Broken Age.","請先玩完《Broken Age》第一幕，再來看這集。"
"00:00:50,451 --> 00:00:53,663","Offscreen Voice: Backers that play it, or are you more nervous about the money,","畫外音：玩過的贊助者，還是你比較擔心錢，"
"00:00:53,663 --> 00:00:55,380","like how much it's going to sell?","像是它會賣多少？"
"00:00:55,380 --> 00:01:02,323","Schafer: No. I mean, I feel like it's tense about the money because we want it to do well, because I have big plans for Act Two.","Schafer：不。我是說，我覺得錢這件事很緊張，因為我們希望它賣得好，因為我對第二幕有很大的計畫。"
"00:01:02,323 --> 00:01:07,457","And if we don't do well, Justin will be like, look, look, we can't, we got to, you know.","如果賣不好，Justin 就會說：「你看、你看，我們不能，我們得，你知道。」"
"00:01:07,457 --> 00:01:11,916","Because basically, just spending our own money from here on out.","因為基本上，從現在開始我們都是在花自己的錢。"
"00:01:11,916 --> 00:01:14,499","And probably like a few months back.","而且大概幾個月前就開始了。"
"00:01:14,499 --> 00:01:20,212","So if no one buys the game tomorrow, maybe Act Two will be a much smaller than Act One.","所以如果明天沒有人買這款遊戲，也許第二幕就會比第一幕小很多。"
"00:01:22,322 --> 00:01:25,409","I hope one person buys it.","我希望至少有一個人買。"
"00:01:25,409 --> 00:01:27,800","If no one buys it, it's going to be really awkward.","如果沒人買，那會很尷尬。"
"00:01:27,800 --> 00:01:29,847","But I guess that's a good clear, I can say that to the backers.","不過我想這倒是很清楚，我可以跟贊助者這麼說。"
"00:01:29,847 --> 00:01:33,282","Look, nobody bought it, except for you guys.","你看，除了你們以外，沒有人買。"
"00:01:33,282 --> 00:01:34,722","I'm sorry.","抱歉。"
"00:01:36,210 --> 00:01:38,941","But it serves me right for investing our own money in a game.","但誰叫我活該，拿自己的錢投資遊戲。"
"00:01:38,941 --> 00:01:40,801","I should have just played with their money.","我應該只拿他們的錢來玩的。"
"00:01:42,664 --> 00:02:10,928","[Music] Schafer: We are launching Red's tomorrow.","[音樂] Schafer：我們明天要推出 Red’s。"
"00:02:10,928 --> 00:02:14,182","Crazy times.","真是瘋狂的時候。"
"00:02:14,182 --> 00:02:16,802","All of our backers.","我們所有的贊助者"
"00:02:18,382 --> 00:02:21,044","Thank you to our team for working so hard.","謝謝我們的團隊這麼努力。"
"00:02:21,044 --> 00:02:30,000","We are going to the backers tomorrow and the rest of the general population, future backers, if you will on the 28th.","明天要開放給贊助者，然後 28 號開放給其他一般大眾，也就是未來的贊助者。"
"00:02:30,000 --> 00:02:31,751","Rice: The game is up.","Rice：遊戲上架了。"
"00:02:31,751 --> 00:02:33,002","Preorders are up.","預購也上線了。"
"00:02:33,002 --> 00:02:35,156","Schafer: Whoohoo! Rice: Yeah.","Schafer：嗚呼！Rice：對。"
"00:02:35,156 --> 00:02:36,873","Schafer: All right, next game.","Schafer：好，下一款遊戲。"
"00:02:36,873 --> 00:02:38,773","Rice: I will send the press release.","Rice：我會寄新聞稿。"
"00:02:43,696 --> 00:02:49,699","One of the reviewers said he didn't go to bed.","有一位評測者說他沒去睡覺。"
"00:02:49,699 --> 00:02:51,047","Finished the game last night.","昨晚玩完了"
"00:02:51,047 --> 00:02:52,040","Remo: Finished it last night?","Remo：昨晚玩完了？"
"00:02:52,040 --> 00:02:53,309","Rice: Yeah. Remo: Wow.","Rice：對。Remo：哇。"
"00:02:53,309 --> 00:02:55,628","Rice: Yeah, I sent the codes at like...","Rice：對，我是在大概……寄出序號的。"
"00:02:55,628 --> 00:02:57,237","Remo: Did he say how long it took him?","Remo：他說他花了多久？"
"00:02:57,237 --> 00:02:58,613","Rice: 4:00 or 5:00 p.m. Remo: Oh, right.","Rice：下午 4 點或 5 點。Remo：喔，對。"
"00:02:58,613 --> 00:03:00,222","Rice: So I mean, I guess there's time.","Rice：所以我是說，我想時間是夠的。"
"00:03:00,222 --> 00:03:02,469","But yeah, he just didn't stop.","不過對，他就是一直沒停。"
"00:03:02,469 --> 00:03:03,309","That's kind of awesome.","這還滿棒的。"
"00:03:05,103 --> 00:03:05,947","Schafer: Man, this is weird.","Schafer：老天，這感覺好怪。"
"00:03:05,947 --> 00:03:07,187","People are playing Broken Age.","人們在玩《Broken Age》"
"00:03:11,270 --> 00:03:13,910","Seven people watching him and I'm one of them.","有七個人在看他，而我是其中一個。"
"00:03:15,781 --> 00:03:17,465","I don't want them to know this is what I do.","我不想讓他們知道我都在做這種事。"
"00:03:17,465 --> 00:03:18,469","I've never done this before.","我從沒做過這種事"
"00:03:18,469 --> 00:03:23,692","We've never been able to do this before and have live streams, like after Grim Fandango.","以前我們從來沒辦法這樣，像《Grim Fandango》之後那時候也沒有直播。"
"00:03:26,467 --> 00:03:30,159","Remo: People are already posting screenshots.","Remo：大家已經在貼截圖了。"
"00:03:30,159 --> 00:03:31,314","Bailey: I'm still waiting.","Bailey：我還在等。"
